iter	Passed	Remaining
0	0	449
1	0	388
2	0	324
3	1	300
4	1	297
5	1	285
6	2	291
7	2	281
8	2	276
9	2	271
10	2	268
11	3	263
12	3	259
13	3	255
14	3	254
15	4	251
16	4	252
17	4	251
18	4	249
19	5	247
20	5	244
21	5	242
22	5	241
23	5	242
24	6	241
25	6	239
26	6	239
27	6	238
28	7	236
29	7	235
30	7	233
31	7	232
32	7	232
33	8	231
34	8	231
35	8	230
36	8	228
37	8	227
38	9	227
39	9	226
40	9	225
41	9	225
42	10	225
43	10	224
44	10	224
45	10	224
46	11	223
47	11	222
48	11	222
49	11	222
50	11	222
51	12	221
52	12	222
53	12	221
54	12	221
55	13	221
56	13	220
57	13	220
58	13	220
59	14	219
60	14	219
61	14	218
62	14	217
63	14	217
64	15	217
65	15	217
66	15	216
67	15	216
68	15	215
69	16	215
70	16	214
71	16	214
72	16	213
73	16	212
74	17	212
75	17	211
76	17	211
77	17	211
78	18	210
79	18	210
80	18	210
81	18	210
82	18	209
83	19	208
84	19	208
85	19	208
86	19	207
87	19	207
88	20	206
89	20	206
90	20	205
91	20	205
92	20	204
93	21	204
94	21	204
95	21	203
96	21	203
97	22	202
98	22	202
99	22	202
100	22	202
101	22	202
102	23	202
103	23	202
104	23	201
105	23	201
106	24	201
107	24	201
108	24	201
109	24	201
110	25	201
111	25	201
112	25	200
113	25	200
114	25	200
115	26	199
116	26	199
117	26	199
118	26	199
119	27	198
120	27	198
121	27	197
122	27	197
123	27	197
124	28	196
125	28	196
126	28	195
127	28	195
128	28	195
129	29	195
130	29	195
131	29	195
132	29	194
133	30	194
134	30	194
135	30	193
136	30	193
137	30	193
138	31	193
139	31	193
140	31	193
141	31	192
142	32	192
143	32	191
144	32	191
145	32	191
146	32	190
147	33	190
148	33	190
149	33	190
150	33	190
151	34	190
152	34	190
153	34	189
154	34	189
155	35	189
156	35	189
157	35	188
158	35	188
159	35	188
160	35	187
161	36	187
162	36	187
163	36	187
164	36	186
165	37	186
166	37	186
167	37	186
168	37	185
169	38	185
170	38	185
171	38	185
172	38	185
173	38	184
174	39	184
175	39	184
176	39	184
177	39	184
178	40	184
179	40	184
180	40	184
181	40	183
182	41	183
183	41	183
184	41	183
185	41	182
186	41	182
187	42	182
188	42	182
189	42	182
190	42	181
191	43	181
192	43	181
193	43	181
194	43	181
195	44	180
196	44	180
197	44	180
198	44	179
199	44	179
200	45	179
201	45	179
